annots,mean,std,positive
plof,8,1,0
missense,2,2,0
other1,2,2,0
beta_maf_norm,0,1,1
CADD_RAW_phred_norm,0,1,1
antiSIFT_phred_norm,0,1,1
PolyPhen_phred_norm,0,1,1
Condel_phred_norm,0,1,1
absDeepSEA_PC_1_phred_norm,0,1,1
absDeepSEA_PC_2_phred_norm,0,1,1
absDeepSEA_PC_3_phred_norm,0,1,1
absDeepSEA_PC_4_phred_norm,0,1,1
absDeepSEA_PC_5_phred_norm,0,1,1
absDeepSEA_PC_6_phred_norm,0,1,1
PrimateAI_phred_norm,0,1,1
AbSplice_DNA_phred_norm,0,1,1
adjQKI_parclip_phred_norm,0,1,1
adjQKI_hg2_phred_norm,0,1,1
adjQKI_k5_phred_norm,0,1,1
adjELAVL1_parclip_phred_norm,0,1,1
adjTARDBP_parclip_phred_norm,0,1,1
adjHNRNPD_parclip_phred_norm,0,1,1
adjMBNL1_parclip_phred_norm,0,1,1
delta_score_phred_norm,0,1,1
adjTARDBP_k5_phred_norm,0,1,1